location_id,epoch,satellite_id,label,cn0,elevation,azimuth,pseudorange_residual
L00,0,S00,0,27.529237057512383,25.969346902369065,358.90344857855115,5.620287205194877
L00,0,S01,1,40.714447175648196,45.76234743819452,50.360860982218135,1.2137740163201216
L00,0,S02,1,41.43356118060401,38.89103659763754,90.4216569959916,-2.188429094570164
L00,0,S03,1,32.55392736772894,9.89479080448281,133.16953695583913,0.02981773785063746
L00,0,S04,1,38.34574169379516,35.5307210291717,174.93021407422518,-4.533519421641026
L00,0,S05,1,33.64452482073112,26.743118862833626,222.84522841661345,-0.4555065520678613
L00,0,S06,0,28.173628636338364,23.24969721735533,266.08592368777346,5.434956590108959
L00,0,S07,0,31.38662450137318,41.3499911914024,318.5375594695327,5.627563548510124
L00,1,S00,0,25.58499362655031,44.25236832193174,356.8997766943292,7.218765376043196
L00,1,S01,0,33.66790899229649,43.53022893325696,47.27741610278632,3.1014221957895534
L00,1,S02,1,41.39018593518322,65.62930636416942,92.09806491508586,0.36696535970116884
L00,1,S03,1,39.71098513636363,69.13352642609772,139.46899024333732,-0.4266151530768303
L00,1,S04,1,38.31331409518426,8.721683789952454,182.30907364490332,2.2975277442008153
L00,1,S05,1,41.26416197900698,5.0,231.38088802981653,-3.484839568348989
L00,1,S06,1,41.41291365199764,36.91157261597294,269.94732054019056,-0.1544268404443957
L00,1,S07,0,29.501912700994964,47.9990611736156,315.32569642360016,4.892639223270542
L00,2,S00,0,27.100764998971304,41.58676985456841,5.010356269141061,5.476957063922904
L00,2,S01,1,38.91549735446524,76.47639221634907,46.825675108102324,1.8367620465346877
L00,2,S02,1,41.041838239631446,73.75077005972734,92.2405217931474,-2.0817864906469743
L00,2,S03,1,37.93433092800997,11.971475484378516,139.98672019551373,-1.2998552151971905
L00,2,S04,1,36.81619744744633,69.98122237950238,184.2562111828489,0.9108078921293978
L00,2,S05,1,41.458620342921904,25.03968063151358,230.5720531656494,1.5398152740677968
L00,2,S06,1,35.30930382282811,38.10298758646308,269.4652966717053,1.0196782013487267
L00,2,S07,0,31.312572700191676,70.61122790370152,315.16817409129385,4.317943294287452
L00,3,S00,0,32.26993929716064,8.673907868708689,4.925560704489224,1.2428659163557105
L00,3,S01,0,28.040760384922365,24.419100681122554,53.786434085924654,7.057982168684923
L00,3,S02,0,36.04597504432914,26.668747320126503,95.92380483033921,5.3683901879995855
L00,3,S03,1,42.845053659149215,38.59933165632592,139.30433491131072,-0.5857838634603736
L00,3,S04,1,34.527961969220904,14.823664254270945,185.1952383492333,3.0141386274287854
L00,3,S05,1,36.56958765303987,45.97309388834309,229.78364970717595,-0.15337052000450435
L00,3,S06,1,37.950273994203705,40.54557944807326,273.1590757979884,-2.2571493682718273
L00,3,S07,0,27.310671743317776,83.46006606424645,317.1726162895155,6.174652665150061
L00,4,S00,1,36.78781606122782,19.32449769134375,12.829088798226127,-3.0220389486548056
